C C
C1=NCNN=CC1 C1=NCNN=C[CH2:1]1
C1=NCNN=CC1 C1=NN[CH2:1]N=CC1
C1=NCNN=N1 C1=NC[NH:1]N=N1
C1=NCNN=N1 C1=N[CH2:1]NN=N1
C1=NCNN=N1 C1=N[CH2:1][NH:1]N=N1
C1=NCNN=N1 C1N=[CH:1]N=NN1
C1=NCNN=NC1 C1=NCNN=N[CH2:1]1
C1=NCNN=NC1 C1=N[CH2:1]NN=NC1
C1=NCOCN=C1 C1=NCO[CH2:1]N=C1
C1=NCON=C1 C1=NCON=[CH:1]1
C1=NCON=C1 C1=NOCN=[CH:1]1
C1=NCON=C1 C1=NO[CH2:1]N=C1
C1=NCON=CC1 C1=NCON=C[CH2:1]1
C1=NCON=CC1 C1=NO[CH2:1]N=CC1
C1=NCON=N1 C1=N[CH2:1]ON=N1
C1=NCON=NC1 C1=NCON=N[CH2:1]1
C1=NCON=NC1 C1=N[CH2:1]ON=NC1
C1=NN=CCC1 C1=NN=C[CH2:1]C1
C1=NN=CCC1 C1=NN=C[CH2:1][CH2:1]1
C1=NN=CCNC1 C1=NN=C[CH2:1]NC1
C1=NN=CN1 C1=NN=C[NH:1]1
C1=NN=CN1 C1=NN=[CH:1]N1
C1=NN=CN=N1 C1=NN=[CH:1]N=N1
C1=NN=CO1 C1=NN=[CH:1]O1
C1=NN=NN1 C1=NN=N[NH:1]1
C1=NN=NN=C1 C1=NN=NN=[CH:1]1
C1=NNCN1 C1=NNC[NH:1]1
C1=NNCN1 C1=NN[CH2:1]N1
C1=NNCN1 C1=N[NH:1]CN1
C1=NNCN1 C1NN=[CH:1]N1
C1=NNCO1 C1=NN[CH2:1]O1
C1=NNCO1 C1=N[NH:1]CO1
C1=NNN=C1 C1=NNN=[CH:1]1
C1=NNN=C1 C1=N[NH:1]N=C1
C1=NNN=CC1 C1=NNN=C[CH2:1]1
C1=NNN=CC1 C1=N[NH:1]N=CC1
C1=NNN=CCC1 C1=NNN=C[CH2:1]C1
C1=NNN=N1 C1=N[NH:1]N=N1
C1=NNN=N1 N1=N[CH:1]=NN1
C1=NNN=NC1 C1=NNN=N[CH2:1]1
C1=NNN=NC1 C1=N[NH:1]N=NC1
C1=NNN=NCC1 C1=NNN=NC[CH2:1]1
C1=NOCN1 C1=NOC[NH:1]1
C1=NOCN1 C1=NO[CH2:1]N1
C1=NOCN1 C1N[CH:1]=NO1
C1=NOCO1 C1=NO[CH2:1]O1
C1=NOCO1 C1ON=[CH:1]O1
C1=NON=C1 C1=NON=[CH:1]1
C1=NON=C1 C1=N[O:1]N=C1
C1=NON=CC1 C1=NON=C[CH2:1]1
C1=NON=CC1 C1=NON=[CH:1]C1
C1=NON=CC1 C1=N[O:1]N=CC1
C1=NON=CCC1 C1=NON=C[CH2:1]C1
C1=NON=N1 N1=N[CH:1]=NO1
C1=NON=NC1 C1=NON=N[CH2:1]1
C1=NON=NC1 C1=N[O:1]N=NC1
C1=NON=NCC1 C1=NON=NC[CH2:1]1
C1CC1 C1C[CH2:1]1
C1CC1 C1[CH2:1][CH2:1]1
C1CCC1 C1C[CH2:1]C1
C1CCC1 C1C[CH2:1][CH2:1]1
C1CCC1 C1[CH2:1][CH2:1][CH2:1]1
C1CCCC1 C1CC[CH2:1]C1
C1CCNC1 C1CN[CH2:1]C1
C1CCNC1 C1C[CH2:1]CN1
C1CCOC1 C1CO[CH2:1]C1
C1CCOC1 C1C[CH2:1]CO1
C1CN1 C1C[NH:1]1
C1CN1 C1N[CH2:1]1
C1CN1 C1[CH2:1][NH:1]1
C1CN1 N1[CH2:1][CH2:1]1
C1CN=NNN=N1 C1N=NNN=N[CH2:1]1
C1CNC1 C1C[CH2:1]N1
C1CNC1 C1C[NH:1]C1
C1CNC1 C1C[NH:1][CH2:1]1
C1CNC1 C1NC[CH2:1]1
C1CNC1 C1N[CH2:1][CH2:1]1
C1CNC1 C1[CH2:1][CH2:1][NH:1]1
C1CNC1 C1[CH2:1][NH:1][CH2:1]1
C1CNC1 N1[CH2:1][CH2:1][CH2:1]1
C1CNCN1 C1CN[CH2:1]N1
C1CNCN1 C1NC[CH2:1]N1
C1CO1 C1O[CH2:1]1
C1CO1 O1[CH2:1][CH2:1]1
C1COC1 C1C[CH2:1]O1
C1COC1 C1OC[CH2:1]1
C1COC1 C1O[CH2:1][CH2:1]1
C1COC1 C1[CH2:1][O:1][CH2:1]1
C1COC1 O1[CH2:1][CH2:1][CH2:1]1
C1COCN1 C1CO[CH2:1]N1
C1COCN1 C1NC[CH2:1]O1
C1COCN1 C1N[CH2:1]CO1
C1COCO1 C1CO[CH2:1]O1
C1COCO1 C1OC[CH2:1]O1
C1C[NH2+]C1 C1[NH2+]C[CH2:1]1
C1N=NNN=N1 C1N=N[NH:1]N=N1
C1N=NNN=N1 N1=N[CH2:1]N=NN1
C1N=NON=N1 N1=N[CH2:1]N=NO1
C1NN=NN1 N1=NN[CH2:1]N1
C1NN=NO1 N1=NO[CH2:1]N1
C1ON=NO1 N1=NO[CH2:1]O1
C=N C=[NH:1]
C=N N=[CH2:1]
C=O C=[O:1]
C=O O=[CH2:1]
CC C[CH3:1]
CF C[F:1]
CF F[CH3:1]
CN C[NH2:1]
CN N[CH3:1]
CO C[OH:1]
CO O[CH3:1]
C[NH3+] C[NH3+:1]
C[O-] [O-][CH3:1]
N N
N1=NNN=N1 N1=N[NH:1]N=N1
NO N[OH:1]
NO O[NH2:1]
[CH2-]C C[CH2-:1]
[CH2-]C [CH2-][CH3:1]
[CH3-] [CH3-]
[NH2+]=O O=[NH2+:1]
[NH3+][O-] [NH3+][O-:1]
[NH4+] [NH4+]
